fra;date;cases_f;cases_m;cases;pop_f;pop_m;age_group;pop
FR;2020-05-20;39;45;84;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-20;37;44;81;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-20;107;46;153;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-20;80;23;104;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-20;618;435;1060;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-21;4;4;8;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-21;5;7;12;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-21;10;15;25;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-21;13;6;19;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-21;12;7;19;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-21;7;10;17;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-21;4;11;15;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-21;12;15;27;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-21;20;10;30;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-21;17;8;25;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-21;104;93;197;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-22;11;12;24;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-22;18;19;39;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-22;53;63;116;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-22;47;44;93;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-22;61;52;114;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-22;56;42;98;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-22;30;31;62;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-22;46;39;86;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-22;68;38;106;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-22;71;16;87;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-22;461;358;827;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-23;4;2;6;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-23;17;10;29;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-23;19;11;31;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-23;19;12;33;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-23;13;10;23;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-23;15;20;37;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-23;7;14;21;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-23;13;16;29;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-23;21;15;36;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-23;17;4;22;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-23;145;114;267;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-24;2;2;4;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-24;13;7;22;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-24;14;12;26;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-24;5;6;13;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-24;5;8;13;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-24;3;6;9;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-24;4;9;13;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-24;5;11;16;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-24;14;2;16;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-24;7;1;8;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-24;72;64;140;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-25;8;7;16;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-25;19;26;46;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-25;46;39;85;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-25;59;33;93;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-25;60;37;98;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-25;47;27;74;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-25;30;41;72;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-25;26;29;55;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-25;75;30;105;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-25;61;10;71;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-25;431;279;715;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-26;11;8;29;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-26;17;28;46;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-26;52;46;99;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-26;47;38;86;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-26;49;57;109;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-26;65;34;99;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-26;33;32;65;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-26;30;21;51;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-26;60;32;94;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-26;83;15;98;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-26;447;311;778;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-27;7;16;23;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-27;20;25;45;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-27;53;30;85;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-27;38;42;80;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-27;67;44;111;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-27;49;39;89;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-27;37;34;71;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-27;26;35;61;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-27;49;31;80;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-27;73;11;84;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-27;419;307;731;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-28;11;9;20;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-28;24;28;52;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-28;49;50;101;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-28;46;42;91;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-28;48;45;94;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-28;35;31;66;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-28;24;28;54;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-28;21;17;40;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-28;44;21;66;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-28;44;6;50;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-28;347;277;644;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-29;11;11;28;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-29;15;26;42;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-29;43;40;84;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-29;40;27;67;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-29;32;35;67;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-29;51;26;79;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-29;30;23;53;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-29;23;24;48;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-29;37;23;60;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-29;36;12;48;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-29;318;248;596;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-30;9;5;15;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-30;7;20;29;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-30;23;61;85;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-30;26;37;63;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-30;20;29;51;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-30;18;15;34;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-30;14;12;26;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-30;9;12;22;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-30;18;8;26;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-30;18;3;21;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-30;162;202;372;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-31;3;3;6;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-31;7;18;25;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-31;16;34;51;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-31;13;22;35;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-31;9;11;20;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-31;6;8;15;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-31;6;5;11;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-31;6;3;11;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-31;3;7;10;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-31;2;2;4;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-31;71;113;188;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-01;2;3;5;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-01;4;9;13;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-01;10;32;42;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-01;11;10;21;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-01;10;10;20;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-01;13;12;25;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-01;1;5;6;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-01;3;9;12;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-01;10;3;13;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-01;11;4;15;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-01;75;97;176;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-02;19;13;32;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-02;24;11;36;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-02;63;44;107;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-02;56;21;77;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-02;51;58;110;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-02;48;39;87;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-02;38;35;73;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-02;37;23;61;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-02;54;28;82;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-02;64;14;79;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-02;454;287;745;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-03;5;8;15;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-03;19;17;39;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-03;56;35;91;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-03;62;36;104;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-03;52;31;86;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-03;43;32;75;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-03;27;29;56;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-03;25;31;56;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-03;55;32;87;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-03;45;7;52;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-03;389;259;679;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-04;8;10;25;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-04;14;10;25;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-04;45;32;78;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-04;52;60;113;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-04;48;41;90;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-04;47;42;90;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-04;22;32;55;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-04;13;17;30;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-04;42;20;62;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-04;42;16;58;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-04;333;283;631;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-05;7;10;17;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-05;19;31;50;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-05;31;38;72;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-05;41;44;87;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-05;42;29;71;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-05;37;28;67;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-05;31;28;60;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-05;25;20;46;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-05;35;21;56;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-05;28;9;37;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-05;296;258;565;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-06;3;11;14;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-06;10;7;18;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-06;20;21;41;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-06;29;22;51;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-06;21;24;45;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-06;16;19;35;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-06;12;16;29;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-06;12;13;25;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-06;14;9;23;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-06;11;2;13;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-06;148;146;297;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-07;3;4;8;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-07;6;10;16;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-07;8;3;12;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-07;8;9;17;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-07;12;7;21;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-07;8;8;16;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-07;4;10;14;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-07;3;4;7;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-07;6;9;15;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-07;9;3;12;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-07;67;67;138;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-08;15;12;27;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-08;19;16;37;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-08;42;39;84;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-08;47;38;86;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-08;50;35;88;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-08;42;25;67;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-08;23;29;53;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-08;21;15;36;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-08;27;19;46;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-08;27;11;40;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-08;313;239;564;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-09;11;16;32;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-09;23;18;45;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-09;33;46;84;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-09;44;36;86;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-09;48;42;95;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-09;29;40;74;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-09;25;20;48;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-09;14;21;36;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-09;27;9;38;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-09;31;8;39;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-09;285;256;577;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-10;8;12;23;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-10;17;20;41;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-10;37;42;91;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-10;45;35;89;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-10;26;25;63;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-10;32;34;79;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-10;21;22;48;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-10;28;21;52;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-10;25;21;54;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-10;15;6;26;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-10;254;238;566;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-11;17;26;50;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-11;17;19;51;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-11;50;35;98;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-11;63;47;123;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-11;32;41;85;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-11;42;33;82;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-06-11;13;23;44;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-06-11;16;20;38;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-06-11;14;12;33;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-06-11;16;2;22;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-06-11;280;258;626;34692807.7476749;32422187.2523251;0;67114995
FR;2020-06-12;15;22;48;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-06-12;30;29;68;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-06-12;48;36;98;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-06-12;40;44;89;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-06-12;48;34;89;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-06-12;22;39;72;4494308.44474725;4298366.32326346;59;8792674.76801071
